line,verse,part,text
384,97,1,น่าชมบุญขุนพัฒน์ไม่ขัดข้อง
385,97,2,มีเงินทองทำทวีภาษีเสริม
386,97,3,เมียน้อยน้อยพลอยเปนสุขไรจุกเจิม
387,97,4,ได้พูลเพิ่มวาสนาเสียกว่าไทย
388,98,1,ทุกวันนี้มีทรัพย์เขานับถือ
389,98,2,เหมือนเราฤๅเขาจะรักมิผลักไส
390,98,3,สงสารจนอ้นอั้นให้ตันใจ
391,98,4,จนเข้าในปากน้ำสำประโทน
392,99,1,ริมลำคลองสองฝั่งสพรั่งพฤกษ์
393,99,2,พินิจนึกเหมือนหนึ่งเขียนบ้างเกรียนโกร๋น
394,99,3,นกอีลุ้มคุ่มขาบจิบจาบโจน
395,99,4,กระพือโผนโผผินขึ้นบินโบย
396,100,1,บนไม้สูงฝูงเปล้านกเค้ากู่
397,100,2,กระลุมภูโพระโดกเสียงโหวกโหวย
398,100,3,วิเวกใจได้ยินยิ่งดิ้นโดย
399,100,4,ละห้อยโหยหาน้องในคลองลัด
400,101,1,พอมืดมนฝนคลุ้มฉอุ่มอับ
401,101,2,โพยมพยับเปนพยุระบุระบัด
402,101,3,เสียงลมลั่นบันลือกระพือพัด
403,101,4,พิรุณซัดสาดสายลงพรายพราว
404,102,1,ฟ้ากระหึมครึมครั่นให้ปั่นป่วน
405,102,2,เหมือนพี่ครวญคราวทนน้ำฝนหนาว
406,102,3,แวมสว่างอย่างแก้วดูแวววาว
407,102,4,เปนเรื่องราวรามสูรอาดูรทรวง
408,103,1,เพราะนางเอกเมขลาหล่อนฬ่อแก้ว
409,103,2,จะให้แล้วแล้วไม่ให้ด้วยใจหวง
410,103,3,เหมือนรักแก้วแววฟ้าสุดาดวง
411,103,4,เฝ้าหนักหน่วงนึกเหมือนจะเคลื่อนคลา
412,104,1,ถึงบางแก้วแก้วอื่นสักหมื่นแสน
413,104,2,ไม่เหมือนแม้นแก้วเนตรของเชษฐา
414,104,3,ดูรูปนางบางแก้วไม่แผ้วตา
415,104,4,ไม่เหมือนหน้าน้องแก้วที่แคล้วกัน
416,105,1,จนเกินย่านบ้านคลองที่ท้องทุ่ง
417,105,2,เปนเขตรคุ้งขอบป่าพนาสัณฑ์
418,105,3,ทุกถิ่นเถื่อนเรือนโรงโขมงควัน
419,105,4,เปนสำคัญเขตรโขดโตนดตาล
420,106,1,ถึงโพเตี้ยโพต่ำเหมือนคำกล่าว
421,106,2,แต่โตราวสามอ้อมเท่าพ้อมสาน
422,106,3,เปนเรื่องราวจ้าวฟ้าพระยาภาน
423,106,4,มาสังหารพระยากงส์องค์บิดา
424,107,1,แล้วปลูกพระมหาโพธิบนโขดใหญ่
425,107,2,พะเอิญให้เตี้ยต่ำเพราะกรรมหนา
426,107,3,อันเท็จจริงสิ่งใดเปนไกลตา
427,107,4,เขาเล่ามาพี่ก็เล่าให้เจ้าฟัง
428,108,1,ที่ท้ายบ้านศาลจ้าวของชาวบ้าน
429,108,2,บวงสรวงศาลเจ้าผีบายศรีตั้ง
