line,verse,part,text
229,58,2,เหมือนอายชายเฉยเมินดำเนินหนี
230,58,3,นางน้อยน้อยพลอยตามงามงามดี
231,58,4,เก็บมาลีเลือกถวายไว้หลายพรรณ
232,59,1,แล้วชวนว่าอย่าอยู่ชมพูทวีป
233,59,2,นิมนต์รีบไปสำราญวิมานสวรรค์
234,59,3,แล้วทรงรถกลดกั้งนางทั้งนั้น
235,59,4,นั่งที่ชั้นลดล้อมน้อมคำนับ
236,60,1,ที่นั่งทิพย์ลิบเลื่อนคล้อยเคลื่อนคล้าย
237,60,2,พรรณรายพรายเรืองเครื่องประดับ
238,60,3,ประเดี๋ยวเดียวเฉียวฉิบแลลิบลับ
239,60,4,จนลมจับวับใจอาลัยลาน
240,61,1,ซึ่งสั่งให้ไปสวรรค์ฤๅชันษา
241,61,2,จะมรณาในปีนี้เป็นปีขาล
242,61,3,แม้นเหมือนปากอยากใคร่ตายหมายวิมาน
243,61,4,ขอพบพานภัคินีของพี่ยา
244,62,1,ยังนึกเห็นเช่นโฉมประโลมโลก
245,62,2,ยิ่งเศร้าโศกแสนสวาทปรารถนา
246,62,3,ได้แนบชมสมคะเนสักเวลา
247,62,4,ถึงชีวาม้วยไม่อาลัยเลย
248,63,1,อยู่หลัดหลัดพลัดพรากไปฟากฟ้า
249,63,2,ให้ดิ้นโดยโหยหานิจจาเอ๋ย
250,63,3,ถึงชาตินี้พี่มิได้บุญไม่เคย
251,63,4,ขอชื่นเชยชาติหน้าด้วยอาวรณ์
252,64,1,แม้นรู้เหาะก็จะได้ตามไปด้วย
253,64,2,สู้มอดม้วยมิได้ทิ้งมิ่งสมร
254,64,3,เสมอเนตรเชษฐาเวลานอน
255,64,4,จะกล่าวกลอนกล่อมประทับไว้กับทรวง
256,65,1,สายสุดใจไม่หลับจะรับขวัญ
257,65,2,ร้องโอดพันพัดชาช้าลูกหลวง
258,65,3,ประโลมแก้วแววตาสุดาดวง
259,65,4,ให้อุ่นทรวงไสยาศไม่คลาดคลาย
260,66,1,ยามกลางวันบรรทมจะชมโฉม
261,66,2,ขับประโลมข้างที่พัดวีถวาย
262,66,3,แม้นไม่ยิ้มหงิมเหงาจะเล่านิยาย
263,66,4,เรื่องกระต่ายตื่นตูมเหลือมูมมาม
264,67,1,ไม่รู้เหาะก็มิได้ขึ้นไปเห็น
265,67,2,แม้นเหมือนเช่นชาวสุธาภาษาสยาม
266,67,3,ถ้ารับรักจักอุตส่าห์พยายาม
267,67,4,ไปตามความคิดคงได้ปลงทอง
268,68,1,นี่จนใจไม่รู้จักที่หลักแหล่ง
269,68,2,สุดแสวงสวาทหมายไม่วายหมอง
270,68,3,เมื่อยามฝันนั้นว่านึกนั่งตรึกตรอง
271,68,4,เดือนหงายส่องแสงสว่างดั่งกลางวัน
272,69,1,เห็นโฉมยงองค์เอกเมขลา
273,69,2,ชูจินดาดวงสว่างมากลางสวรรค์
274,69,3,รัศมีสีเปล่งดังเพ็งจันทร์
275,69,4,พระรำพันกรุณาด้วยปรานี
276,70,1,ว่านวลระหงองค์นี้อยู่ชั้นฟ้า
277,70,2,ชื่อโฉมเทพธิดามิ่งมารศรี
278,70,3,วิมานเรียงเคียงกันทุกวันนี้
